Committee ID,Candidate/Committee Name,Office,Party,IE For,IE Against,Total IE,Transaction Count
-1030,Oscar for AZ House,,,637.88,0.0,637.88,1
-1284,TRiel4PCCBoard,,,625.0,0.0,625.0,1
-588,Heli Nielson for Phoenix City Council,,,590.69,0.0,590.69,1
100752,People for Quezada,State Treasurer,Democratic,443.63,100.0,543.63,2
-470,Eva for Arizona,,,479.7,0.0,479.7,1
-701,Jennifer Pawlik for AZ House,,,478.42,0.0,478.42,2
-872,Laura For AZ,,,468.19,0.0,468.19,1
-1294,Taylor Kerby for State Senator - District No. 16,State Senator - District No. 16,Republican,466.23,0.0,466.23,2
-270,Cesar Aguilar for State Representative - District 26,State Representative - District No. 26,Democratic,463.84,0.0,463.84,1
-583,Heap for House,,,414.28,0.0,414.28,1
-503,Friends of Jake Hoffman,,,368.19,0.0,368.19,1
-182,Butler for Arizona,,,273.53,0.0,273.53,1
-970,Mary G for SUSD,,,273.52,0.0,273.52,1
100981,Nitschke for AZ State Senate,State Senator - District No. 7,Democratic,224.88,0.0,224.88,1
201800175,Vote Kerr,State Representative - District 25,Republican,187.41,0.0,187.41,1
-440,Elect Heli Nielson,,,177.71,0.0,177.71,1
-341,D14 Democrats,,,170.4,0.0,170.4,1
-895,Living United for Change in Arizona,,,170.4,0.0,170.4,1
-894,Living United for Change in Arizona,,,170.4,0.0,170.4,1
-340,D14 Democrats,,,170.4,0.0,170.4,1
-76,Arizonans For Public Safety Yes On 310,,,170.4,0.0,170.4,1
-749,Julie Willoughby for State Representative - District 17,State Representative - District No. 17,Democratic,156.71,0.0,156.71,1
100962,Anna Hernandez Senator 24,State Senator - District No. 24,Democratic,148.27,0.0,148.27,1
201600354,Mendez for Senate,State Senator - District No. 26,Democratic,132.13,0.0,132.13,1
100941,Reese For AZ,State Representative - District 14,Democratic,128.0,0.0,128.0,1
-743,Julie Gunnigle For Maricopa County Attorney 2022,,,126.76,0.0,126.76,1
100573,Radford for Arizona Campaign,State Representative - District 11,Democratic,0.0,125.07,125.07,2
201800317,Terán for Arizona,State Senator - District No. 30,Democratic,120.68,0.0,120.68,3
-1190,Salman for House,,,120.0,0.0,120.0,1
-283,Cinthia Estella,,,100.0,0.0,100.0,1
-422,ENGEL FOR ARIZONA,,,88.2,0.0,88.2,1
-1126,Radford for Arizona Campaign,,,88.19,0.0,88.19,1
100227,Robson 2020,State Representative - District 18,Republican,0.0,33.04,33.04,1
